source_file,source_line,source_kind,product_id,url,classification,partner,audit_status,observed_status,last_checked
"src/pages/best-saunas.astro","53","amazon_asin","B017WJV8SO","https://selectsaunas.com/products/almost-heaven-pinnacle-morgan-4-person-classic-barrel-sauna-6x6-ft?sca_ref=10752576.S2huPg7gFg","affiliate","select_saunas","verified_alternate","amazon_unavailable_alternate_available","2026-08-15"
"src/pages/best-saunas.astro","134","amazon_asin","B00A2F99F0","https://www.amazon.com/dp/B00A2F99F0?tag=backyardsauna-20&ascsubtag=bsp_best-saunas","affiliate","amazon","checked_available","available","2026-08-15"
"src/pages/best-saunas.astro","183","amazon_asin","B084GY5CHB","https://www.amazon.com/dp/B084GY5CHB?tag=backyardsauna-20&ascsubtag=bsp_best-saunas","affiliate","amazon","checked_available","available","2026-08-15"
"src/pages/brands/almost-heaven-sauna-review.astro","111","amazon_asin","B017WJV8SO","https://selectsaunas.com/products/almost-heaven-pinnacle-morgan-4-person-classic-barrel-sauna-6x6-ft?sca_ref=10752576.S2huPg7gFg","affiliate","select_saunas","verified_alternate","amazon_unavailable_alternate_available","2026-08-15"
"src/pages/brands/almost-heaven-sauna-review.astro","124","amazon_asin","B003Z11AXM","https://www.amazon.com/s?k=Almost+Heaven+6+person+barrel+sauna&tag=backyardsauna-20&ascsubtag=bsp_almost-heaven-sauna-review","affiliate","amazon","availability_search","unavailable","2026-08-15"
"src/pages/brands/dynamic-saunas-review.astro","105","amazon_asin","B00A2F99F0","https://www.amazon.com/dp/B00A2F99F0?tag=backyardsauna-20&ascsubtag=bsp_dynamic-saunas-review","affiliate","amazon","checked_available","available","2026-08-15"
"src/pages/brands/finnish-sauna-builders-review.astro","139","literal_url","","https://finnishsaunabuilders.com","dealer_outbound","finnish_sauna_builders","relationship_unverified","",""
"src/pages/brands/harvia-sauna-heater-review.astro","80","amazon_asin","B0B7TRM95Y","https://selectsaunas.com/products/harvia-kip60b-6-0kw-electric-sauna-heater-w-built-in-controls?sca_ref=10752576.S2huPg7gFg","affiliate","select_saunas","verified_alternate","amazon_not_found_alternate_available","2026-08-15"
"src/pages/brands/harvia-sauna-heater-review.astro","108","amazon_asin","B01FY6PZYU","https://www.amazon.com/dp/B01FY6PZYU?tag=backyardsauna-20&ascsubtag=bsp_harvia-sauna-heater-review","affiliate","amazon","exact_product_unverified","",""
"src/pages/brands/harvia-sauna-heater-review.astro","120","amazon_asin","B01FY9T0B6","https://www.amazon.com/dp/B01FY9T0B6?tag=backyardsauna-20&ascsubtag=bsp_harvia-sauna-heater-review","affiliate","amazon","exact_product_unverified","",""
"src/pages/brands/redwood-outdoors-sauna-review.astro","59","literal_url","","https://www.redwoodoutdoors.com/collections/saunas","commerce_outbound","redwood_outdoors","relationship_unverified","",""
"src/pages/brands/redwood-outdoors-sauna-review.astro","81","literal_url","","https://www.redwoodoutdoors.com/collections/saunas","commerce_outbound","redwood_outdoors","relationship_unverified","",""
"src/pages/brands/redwood-outdoors-sauna-review.astro","81","literal_url","","https://www.redwoodoutdoors.com/pages/assembly","commerce_outbound","redwood_outdoors","relationship_unverified","",""
"src/pages/brands/redwood-outdoors-sauna-review.astro","86","literal_url","","https://www.redwoodoutdoors.com/pages/thermowood","commerce_outbound","redwood_outdoors","relationship_unverified","",""
"src/pages/brands/redwood-outdoors-sauna-review.astro","112","literal_url","","https://www.redwoodoutdoors.com/pages/shipping-returns","commerce_outbound","redwood_outdoors","relationship_unverified","",""
"src/pages/brands/redwood-outdoors-sauna-review.astro","112","literal_url","","https://www.redwoodoutdoors.com/pages/warranty-saunas","commerce_outbound","redwood_outdoors","relationship_unverified","",""
"src/pages/guides/almost-heaven-barrel-sauna.astro","127","amazon_asin","B017WJV8SO","https://selectsaunas.com/products/almost-heaven-pinnacle-morgan-4-person-classic-barrel-sauna-6x6-ft?sca_ref=10752576.S2huPg7gFg","affiliate","select_saunas","verified_alternate","amazon_unavailable_alternate_available","2026-08-15"
"src/pages/guides/almost-heaven-barrel-sauna.astro","134","amazon_asin","B003Z11AXM","https://www.amazon.com/s?k=Almost+Heaven+6+person+barrel+sauna&tag=backyardsauna-20&ascsubtag=bsp_almost-heaven-barrel-sauna","affiliate","amazon","availability_search","unavailable","2026-08-15"
"src/pages/guides/almost-heaven-barrel-sauna.astro","148","amazon_asin","B0B7TRM95Y","https://selectsaunas.com/products/harvia-kip60b-6-0kw-electric-sauna-heater-w-built-in-controls?sca_ref=10752576.S2huPg7gFg","affiliate","select_saunas","verified_alternate","amazon_not_found_alternate_available","2026-08-15"
"src/pages/guides/barrel-sauna-costco.astro","91","amazon_asin","B0B7TRM95Y","https://selectsaunas.com/products/harvia-kip60b-6-0kw-electric-sauna-heater-w-built-in-controls?sca_ref=10752576.S2huPg7gFg","affiliate","select_saunas","verified_alternate","amazon_not_found_alternate_available","2026-08-15"
"src/pages/guides/barrel-sauna-costco.astro","92","literal_url","","https://www.amazon.com/dp/B0BC8QMSKG?tag=backyardsauna-20&ascsubtag=bsp_barrel-sauna-costco","affiliate","amazon","verified_parameter","",""
"src/pages/guides/barrel-sauna-costco.astro","99","literal_url","","https://www.amazon.com/dp/B0FB6SGKJL?tag=backyardsauna-20&ascsubtag=bsp_barrel-sauna-costco","affiliate","amazon","verified_parameter","",""
"src/pages/guides/barrel-sauna-costco.astro","111","amazon_asin","B017WJV8SO","https://selectsaunas.com/products/almost-heaven-pinnacle-morgan-4-person-classic-barrel-sauna-6x6-ft?sca_ref=10752576.S2huPg7gFg","affiliate","select_saunas","verified_alternate","amazon_unavailable_alternate_available","2026-08-15"
"src/pages/guides/barrel-sauna-vs-cabin-sauna.astro","112","amazon_asin","B017WJV8SO","https://selectsaunas.com/products/almost-heaven-pinnacle-morgan-4-person-classic-barrel-sauna-6x6-ft?sca_ref=10752576.S2huPg7gFg","affiliate","select_saunas","verified_alternate","amazon_unavailable_alternate_available","2026-08-15"
"src/pages/guides/barrel-sauna-vs-cabin-sauna.astro","118","amazon_asin","B00A2F99F0","https://www.amazon.com/dp/B00A2F99F0?tag=backyardsauna-20&ascsubtag=bsp_barrel-sauna-vs-cabin-sauna","affiliate","amazon","checked_available","available","2026-08-15"
"src/pages/guides/best-1-person-sauna.astro","105","amazon_asin","B00A2F99F0","https://www.amazon.com/dp/B00A2F99F0?tag=backyardsauna-20&ascsubtag=bsp_best-1-person-sauna","affiliate","amazon","checked_available","available","2026-08-15"
"src/pages/guides/best-1-person-sauna.astro","142","amazon_asin","B017WJV8SO","https://selectsaunas.com/products/almost-heaven-pinnacle-morgan-4-person-classic-barrel-sauna-6x6-ft?sca_ref=10752576.S2huPg7gFg","affiliate","select_saunas","verified_alternate","amazon_unavailable_alternate_available","2026-08-15"
"src/pages/guides/best-1-person-sauna.astro","158","amazon_asin","B084GY5CHB","https://www.amazon.com/dp/B084GY5CHB?tag=backyardsauna-20&ascsubtag=bsp_best-1-person-sauna","affiliate","amazon","checked_available","available","2026-08-15"
"src/pages/guides/best-2-person-outdoor-sauna.astro","27","amazon_asin","B017WJV8SO","https://selectsaunas.com/products/almost-heaven-pinnacle-morgan-4-person-classic-barrel-sauna-6x6-ft?sca_ref=10752576.S2huPg7gFg","affiliate","select_saunas","verified_alternate","amazon_unavailable_alternate_available","2026-08-15"
"src/pages/guides/best-2-person-outdoor-sauna.astro","41","amazon_asin","B00A2F99F0","https://www.amazon.com/dp/B00A2F99F0?tag=backyardsauna-20&ascsubtag=bsp_best-2-person-outdoor-sauna","affiliate","amazon","checked_available","available","2026-08-15"
"src/pages/guides/best-2-person-sauna.astro","83","amazon_asin","B00A2F99F0","https://www.amazon.com/dp/B00A2F99F0?tag=backyardsauna-20&ascsubtag=bsp_best-2-person-sauna","affiliate","amazon","checked_available","available","2026-08-15"
"src/pages/guides/best-2-person-sauna.astro","95","amazon_asin","B017WJV8SO","https://selectsaunas.com/products/almost-heaven-pinnacle-morgan-4-person-classic-barrel-sauna-6x6-ft?sca_ref=10752576.S2huPg7gFg","affiliate","select_saunas","verified_alternate","amazon_unavailable_alternate_available","2026-08-15"
"src/pages/guides/best-3-person-sauna.astro","10","amazon_asin","B017WJV8SO","https://selectsaunas.com/products/almost-heaven-pinnacle-morgan-4-person-classic-barrel-sauna-6x6-ft?sca_ref=10752576.S2huPg7gFg","affiliate","select_saunas","verified_alternate","amazon_unavailable_alternate_available","2026-08-15"
